"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"12/15/2021","Costa","PURCHASE                                AUTHORIZED ON   12/14 TST* COSTA VIDA 00        REXBURG       ID  S581349087555930   CARD 9347","10.59","debit","Restaurants","Wells Fargo Everyday Checking","",""
"12/15/2021","Deseret Book","PURCHASE                                AUTHORIZED ON   12/15 DESERET BOOK CO #77 18    REXBURG       ID  P000000980560645   CARD 9347","15.89","debit","Books","Wells Fargo Everyday Checking","",""
"12/15/2021","Chick-Fil-A","CHICK-FIL-A # 1288","12.75","debit","Fast Food","Visa","",""
"12/14/2021","Ch JesusChrist DONATION","Ch JesusChrist   DONATION   211214 85320339        GOODSELL MATTHEW ALLEN","11.42","debit","Charity","Wells Fargo Way2Save® Savings","",""
"12/14/2021","CASA DE OCHOA Rexburg ID S461348117438081 CARD 9347","PURCHASE                                AUTHORIZED ON   12/13 SQ *CASA DE OCHOA         Rexburg       ID  S461348117438081   CARD 9347","10.06","debit","Fast Food","Wells Fargo Everyday Checking","",""
"12/13/2021","DOOORZZA -* DOORZZ matt@doorzza. ID S461346116110390 CARD 9347","PURCHASE                                AUTHORIZED ON   12/11 DOOORZZA -* DOORZZ        matt@doorzza. ID  S461346116110390   CARD 9347","15.35","debit","Restaurants","Wells Fargo Everyday Checking","",""
"12/10/2021","Fabletics.com","IBI*FABLETICS.COM","49.95","debit","Clothing","Visa","",""
"12/10/2021","BRIGHAM YOUNG UN PAYROLL 211210 211210W00003524 MATTHEW GOODSELL","BRIGHAM YOUNG UN PAYROLL    211210 211210W00003524 MATTHEW GOODSELL","39.14","credit","Paycheck","Wells Fargo Way2Save® Savings","",""
"12/09/2021","Wal-Mart","WAL-MART #1878","66.41","debit","Shopping","Visa","",""
"12/09/2021","BYUI FOOD SVCS REXBURG ID S381341754817333 CARD 9347","PURCHASE                                AUTHORIZED ON   12/07 BYUI FOOD SVCS            REXBURG       ID  S381341754817333   CARD 9347","7.41","debit","Food & Dining","Wells Fargo Everyday Checking","",""
"12/06/2021","CASA DE OCHOA Rexburg ID S461338111525934 CARD 9347","PURCHASE                                AUTHORIZED ON   12/03 SQ *CASA DE OCHOA         Rexburg       ID  S461338111525934   CARD 9347","9.00","debit","Fast Food","Wells Fargo Everyday Checking","",""
"12/06/2021","Wal-Mart","PURCHASE                                AUTHORIZED ON   12/04 WAL-MART  Wal-Mart Sup    REXBURG       ID  P000000783108299   CARD 9347","31.13","debit","Shopping","Wells Fargo Everyday Checking","",""
"12/06/2021","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS REF #IB0D2NF4LF ON 12/06/21","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS XXXXXX9117 REF #IB0D2NF4LF ON 12/06/21","50.00","credit","Transfer","Wells Fargo Everyday Checking","",""
"12/06/2021","BROULIM'S #6 REXBURG ID S581339069753483 CARD 9347","PURCHASE                                AUTHORIZED ON   12/04 BROULIM'S #6              REXBURG       ID  S581339069753483   CARD 9347","2.43","debit","Groceries","Wells Fargo Everyday Checking","",""
"12/06/2021","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING REF #IB0D2NF4LF ON 12/06/21","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING XXXXXX9815 REF #IB0D2NF4LF ON 12/06/21","50.00","debit","Transfer","Wells Fargo Way2Save® Savings","",""
"12/05/2021","PAC*PARAMOUNTACCEPTANC 800-748-4949 UT","PAC*PARAMOUNTACCEPTANC   800-748-4949 UT","22.89","debit","Gym","Visa","",""
"12/03/2021","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS REF #IB0CZYDLDY ON 12/03/21","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS XXXXXX9117 REF #IB0CZYDLDY ON 12/03/21","50.00","credit","Transfer","Wells Fargo Everyday Checking","",""
"12/03/2021","Venmo","VENMO            PAYMENT    211203 1017180001781   MATTHEW GOODSELL","15.00","debit","Transfer","Wells Fargo Everyday Checking","",""
"12/03/2021","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING REF #IB0CZYDLDY ON 12/03/21","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING XXXXXX9815 REF #IB0CZYDLDY ON 12/03/21","50.00","debit","Transfer","Wells Fargo Way2Save® Savings","",""
"12/02/2021","West Des Moin","ONLINE PAYMENT           WEST DES MOIN","169.97","credit","Credit Card Payment","Visa","",""
"12/02/2021","ONLINE TRANSFER REF #IB0CZN77F6 TO WELLS FARGO ACTIVE CASH CARD ON 12/02/21","ONLINE TRANSFER REF #IB0CZN77F6 TO WELLS FARGO ACTIVE CASH CARD XXXXXXXXXXXX1114 ON 12/02/21","169.97","debit","Transfer","Wells Fargo Way2Save® Savings","",""
"12/01/2021","Mobil","PURCHASE                                AUTHORIZED ON   11/30 BYUI CASHNET MOBIL        REXBURG       ID  S581334554893913   CARD 9347","1.00","debit","Gas & Fuel","Wells Fargo Everyday Checking","",""
"12/01/2021","Ch JesusChrist DONATION","Ch JesusChrist   DONATION   211201 84643356        GOODSELL MATTHEW ALLEN","7.00","debit","Charity","Wells Fargo Way2Save® Savings","",""
"11/30/2021","Manual Solutions Physical Therapy","MANUAL SOLUTIONS PHYSICALIDAHO FALLS  ID","35.00","debit","Doctor","Visa","",""
"11/30/2021","Wal-Mart","PURCHASE                                AUTHORIZED ON   11/29 Wal-Mart Super Center     REXBURG       ID  P000000274551642   CARD 9347","33.86","debit","Shopping","Wells Fargo Everyday Checking","",""
"11/30/2021","INTEREST PAYMENT","INTEREST PAYMENT","0.01","credit","Interest Income","Personal Savings","",""
"11/30/2021","INTEREST PAYMENT","INTEREST PAYMENT","0.01","credit","Interest Income","Emergency","",""
"11/26/2021","BRIGHAM YOUNG UN PAYROLL 211126 211126W00003524 MATTHEW GOODSELL","BRIGHAM YOUNG UN PAYROLL    211126 211126W00003524 MATTHEW GOODSELL","70.02","credit","Paycheck","Wells Fargo Way2Save® Savings","",""
"11/24/2021","Wal-Mart","WAL-MART #1878           REXBURG      ID","43.18","debit","Shopping","Visa","",""
"11/24/2021","Venmo","VENMO            PAYMENT    211124 1016982972167   MATTHEW GOODSELL","6.00","debit","Transfer","Wells Fargo Everyday Checking","",""
"11/22/2021","Subway","PURCHASE                                AUTHORIZED ON   11/20 Subway 35616              Rexburg       ID  S581325191908491   CARD 9347","11.32","debit","Fast Food","Wells Fargo Everyday Checking","",""
"11/22/2021","BROULIM'S #6 REXBURG ID S461324194578326 CARD 9347","PURCHASE                                AUTHORIZED ON   11/19 BROULIM'S #6              REXBURG       ID  S461324194578326   CARD 9347","5.60","debit","Groceries","Wells Fargo Everyday Checking","",""
"11/22/2021","Venmo Cashout","VENMO            CASHOUT    211121 1016929379965   MATTHEW GOODSELL","20.00","credit","Income","Wells Fargo Everyday Checking","",""
"11/19/2021","CHECK 1002","CHECK","305.00","debit","Check","Wells Fargo Everyday Checking","",""
"11/16/2021","Spotify","Spotify USA              877-7781161  NY","9.99","debit","Music","Visa","",""
"11/16/2021","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS REF #IB0CVZGGNT ON 11/16/21","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS XXXXXX9117 REF #IB0CVZGGNT ON 11/16/21","100.00","credit","Transfer","Wells Fargo Everyday Checking","",""
"11/16/2021","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING REF #IB0CVZGGNT ON 11/16/21","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING XXXXXX9815 REF #IB0CVZGGNT ON 11/16/21","100.00","debit","Transfer","Wells Fargo Way2Save® Savings","",""
"11/16/2021","BYU IDAHO BYUIDAHO 211115 MATTHEW GOODSELL","BYU IDAHO        BYUIDAHO   211115       XXXXX8627 MATTHEW GOODSELL","15.00","debit","Entertainment","Wells Fargo Way2Save® Savings","",""
"11/16/2021","Ch JesusChrist DONATION","Ch JesusChrist   DONATION   211116 83949533        GOODSELL MATTHEW ALLEN","14.41","debit","Charity","Wells Fargo Way2Save® Savings","",""
"11/15/2021","BYU IDAHO BYUIDAHO 211112 MATTHEW GOODSELL","BYU IDAHO        BYUIDAHO   211112       XXXXX8627 MATTHEW GOODSELL","5.00","debit","Entertainment","Wells Fargo Everyday Checking","",""
"11/15/2021","BROULIM'S #6 REXBURG ID S381318214177270 CARD 9347","PURCHASE                                AUTHORIZED ON   11/13 BROULIM'S #6              REXBURG       ID  S381318214177270   CARD 9347","9.97","debit","Groceries","Wells Fargo Everyday Checking","",""
"11/15/2021","Fabletics.com","PURCHASE                                AUTHORIZED ON   11/12 IBI*FABLETICS.COM         855-2023570   CA  S461316602725112   CARD 9347","49.95","debit","Clothing","Wells Fargo Everyday Checking","",""
"11/12/2021","Venmo Cashout","VENMO            CASHOUT    211111 1016754549299   MATTHEW GOODSELL","305.00","credit","Income","Wells Fargo Everyday Checking","",""
"11/12/2021","BRIGHAM YOUNG UN PAYROLL 211112 211112W00003524 MATTHEW GOODSELL","BRIGHAM YOUNG UN PAYROLL    211112 211112W00003524 MATTHEW GOODSELL","69.07","credit","Paycheck","Wells Fargo Way2Save® Savings","",""
"11/11/2021","Fabletics.com","IBI*FABLETICS.COM        855-2023570  CA","49.95","debit","Clothing","Visa","",""
"11/08/2021","BROULIM'S #6 REXBURG ID S581311065085031 CARD 9347","PURCHASE                                AUTHORIZED ON   11/06 BROULIM'S #6              REXBURG       ID  S581311065085031   CARD 9347","17.98","debit","Groceries","Wells Fargo Everyday Checking","",""
"11/08/2021","Wal-Mart","PURCHASE                                AUTHORIZED ON   11/06 WAL-MART  Wal-Mart Sup    REXBURG       ID  P000000285219146   CARD 9347","50.65","debit","Shopping","Wells Fargo Everyday Checking","",""
"11/08/2021","CASA DE OCHOA Rexburg ID S301310037933019 CARD 9347","PURCHASE                                AUTHORIZED ON   11/05 SQ *CASA DE OCHOA         Rexburg       ID  S301310037933019   CARD 9347","9.00","debit","Fast Food","Wells Fargo Everyday Checking","",""
"11/08/2021","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS REF #IB0CSVN8HR ON 11/06/21","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS XXXXXX9117 REF #IB0CSVN8HR ON 11/06/21","50.00","credit","Transfer","Wells Fargo Everyday Checking","",""
"11/08/2021","CHECK 1001","CHECK","305.00","debit","Check","Wells Fargo Everyday Checking","",""
"11/08/2021","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING REF #IB0CSVN8HR ON 11/06/21","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING XXXXXX9815 REF #IB0CSVN8HR ON 11/06/21","50.00","debit","Transfer","Wells Fargo Way2Save® Savings","",""
"11/05/2021","PAC*PARAMOUNTACCEPTANC 800-748-4949 UT","PAC*PARAMOUNTACCEPTANC   800-748-4949 UT","22.89","debit","Entertainment","Visa","",""
"11/04/2021","Cafe Rio","PURCHASE                                AUTHORIZED ON   11/02 CAFE RIO 0090 REXB        REXBURG       ID  S461307061146623   CARD 9347","1.37","debit","Restaurants","Wells Fargo Everyday Checking","",""
"11/02/2021","PURCHASE BANK CHECK OR DRAFT","PURCHASE BANK CHECK OR DRAFT","6.00","debit","Mortgage & Rent","Wells Fargo Everyday Checking","",""
"11/02/2021","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS REF #IB0CRSW79Q ON 11/02/21","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS XXXXXX9117 REF #IB0CRSW79Q ON 11/02/21","305.00","credit","Transfer","Wells Fargo Everyday Checking","",""
"11/02/2021","Venmo","VENMO            PAYMENT    211102 1016592401637   MATTHEW GOODSELL","25.00","debit","Transfer","Wells Fargo Everyday Checking","",""
"11/02/2021","CHECK 1006","CHECK","305.00","debit","Check","Wells Fargo Everyday Checking","",""
"11/02/2021","State Farm","STATE FARM RO 08 CPC-CLIENT        15 A 0847720    MATTHEW GOODSELL","164.80","debit","Auto Insurance","Emergency","",""
"11/02/2021","Ch JesusChrist DONATION","Ch JesusChrist   DONATION   211102 83227499        GOODSELL MATTHEW ALLEN","7.15","debit","Charity","Wells Fargo Way2Save® Savings","",""
"11/02/2021","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING REF #IB0CRSW79Q ON 11/02/21","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING XXXXXX9815 REF #IB0CRSW79Q ON 11/02/21","305.00","debit","Transfer","Wells Fargo Way2Save® Savings","",""
"11/01/2021","Venmo","VENMO            PAYMENT    211101 1016570730621   MATTHEW GOODSELL","2.00","debit","Transfer","Wells Fargo Everyday Checking","",""
"10/29/2021","INTEREST PAYMENT","INTEREST PAYMENT","0.02","credit","Interest Income","Emergency","",""
"10/29/2021","INTEREST PAYMENT","INTEREST PAYMENT","0.02","credit","Interest Income","Wells Fargo Way2Save® Savings","",""
"10/29/2021","BRIGHAM YOUNG UN PAYROLL 211029 211029W00003524 MATTHEW GOODSELL","BRIGHAM YOUNG UN PAYROLL    211029 211029W00003524 MATTHEW GOODSELL","71.54","credit","Paycheck","Wells Fargo Way2Save® Savings","",""
"10/27/2021","RC RENT* AVONLEAFO208- HTTPSWWW.ROOMID","RC RENT* AVONLEAFO208-   HTTPSWWW.ROOMID","10.72","debit","Utilities","Visa","",""
"10/26/2021","City of Rexburg","PURCHASE                                AUTHORIZED ON   10/24 CITY OF REXBURG           208-359-3020  ID  S461298111508476   CARD 9347","15.00","debit","Fees & Charges","Wells Fargo Everyday Checking","",""
"10/26/2021","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS REF #IB0CQ3XDWP ON 10/26/21","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS XXXXXX9117 REF #IB0CQ3XDWP ON 10/26/21","305.00","credit","Transfer","Wells Fargo Everyday Checking","",""
"10/26/2021","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING REF #IB0CQ3XDWP ON 10/26/21","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING XXXXXX9815 REF #IB0CQ3XDWP ON 10/26/21","305.00","debit","Transfer","Wells Fargo Way2Save® Savings","",""
"10/26/2021","Manual Solutions Pllc","MANUAL SOLUTIONS PHYSICALIDAHO FALLS  ID","35.00","debit","Business Services","Visa","",""
"10/25/2021","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS REF #IB0CPSPJQF ON 10/24/21","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS XXXXXX9117 REF #IB0CPSPJQF ON 10/24/21","100.00","credit","Transfer","Wells Fargo Everyday Checking","",""
"10/25/2021","Venmo Cashout","VENMO            CASHOUT    211023 1016414212055   MATTHEW GOODSELL","13.00","credit","Income","Wells Fargo Everyday Checking","",""
"10/25/2021","Venmo","VENMO            PAYMENT    211025 1016438917047   MATTHEW GOODSELL","19.00","debit","Transfer","Wells Fargo Everyday Checking","",""
"10/25/2021","Venmo","VENMO            PAYMENT    211023 1016414217065   MATTHEW GOODSELL","24.13","debit","Transfer","Wells Fargo Everyday Checking","",""
"10/25/2021","Venmo","VENMO            PAYMENT    211023 1016413651632   MATTHEW GOODSELL","15.00","debit","Transfer","Wells Fargo Everyday Checking","",""
"10/25/2021","MHS ATHLETIC G REXBURG ID S301296046115965 CARD 9347","PURCHASE                                AUTHORIZED ON   10/22 SQ *MHS ATHLETIC G        REXBURG       ID  S301296046115965   CARD 9347","6.25","debit","Education","Wells Fargo Everyday Checking","",""
"10/25/2021","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING REF #IB0CPSPJQF ON 10/24/21","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING XXXXXX9815 REF #IB0CPSPJQF ON 10/24/21","100.00","debit","Transfer","Wells Fargo Way2Save® Savings","",""
"10/25/2021","ONLINE TRANSFER REF #IB0CPJV8F3 TO WELLS FARGO ACTIVE CASH CARD ON 10/23/21","ONLINE TRANSFER REF #IB0CPJV8F3 TO WELLS FARGO ACTIVE CASH CARD XXXXXXXXXXXX1114 ON 10/23/21","343.73","debit","Transfer","Wells Fargo Way2Save® Savings","",""
"10/23/2021","Wal-Mart","WAL-MART #1878           REXBURG      ID","71.37","debit","Shopping","Visa","",""
"10/23/2021","West Des Moin","ONLINE PAYMENT           WEST DES MOIN","343.73","credit","Credit Card Payment","Visa","",""
"10/21/2021","Fabletics.com","PURCHASE                                AUTHORIZED ON   10/18 IBI*FABLETICS.COM         855-2023570   CA  S301292179570590   CARD 9347","52.62","debit","Clothing","Wells Fargo Everyday Checking","",""
"10/20/2021","Cafe Rio","PURCHASE                                AUTHORIZED ON   10/18 CAFE RIO 0090 REXB        REXBURG       ID  S301292138873099   CARD 9347","11.97","debit","Restaurants","Wells Fargo Everyday Checking","",""
"10/19/2021","Wal-Mart","PURCHASE                                AUTHORIZED ON   10/18 WAL-MART  Wal-Mart Sup    REXBURG       ID  P00000000733862648 CARD 9347","48.19","debit","Shopping","Wells Fargo Everyday Checking","",""
"10/19/2021","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS REF #IB0CNK5QS5 ON 10/18/21","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS XXXXXX1757 REF #IB0CNK5QS5 ON 10/18/21","44.97","credit","Transfer","Wells Fargo Everyday Checking","",""
"10/19/2021","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS REF #IB0CNJWFJ9 ON 10/18/21","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS XXXXXX9117 REF #IB0CNJWFJ9 ON 10/18/21","100.00","credit","Transfer","Wells Fargo Everyday Checking","",""
"10/19/2021","BROULIM'S #6 REXBURG ID S301292132206292 CARD 9347","PURCHASE                                AUTHORIZED ON   10/18 BROULIM'S #6              REXBURG       ID  S301292132206292   CARD 9347","21.76","debit","Groceries","Wells Fargo Everyday Checking","",""
"10/19/2021","Ch JesusChrist DONATION","Ch JesusChrist   DONATION   211019 82596573        GOODSELL MATTHEW ALLEN","5.51","debit","Charity","Wells Fargo Way2Save® Savings","",""
"10/19/2021","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING REF #IB0CNJWFJ9 ON 10/18/21","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING XXXXXX9815 REF #IB0CNJWFJ9 ON 10/18/21","100.00","debit","Transfer","Wells Fargo Way2Save® Savings","",""
"10/19/2021","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING REF #IB0CNK5QS5 ON 10/18/21","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING XXXXXX9815 REF #IB0CNK5QS5 ON 10/18/21","44.97","debit","Transfer","Personal Savings","",""
"10/18/2021","CASA DE OCHOA Rexburg ID S301290004843252 CARD 9347","PURCHASE                                AUTHORIZED ON   10/16 SQ *CASA DE OCHOA         Rexburg       ID  S301290004843252   CARD 9347","9.42","debit","Fast Food","Wells Fargo Everyday Checking","",""
"10/18/2021","Venmo Cashout","VENMO            CASHOUT    211016 1016287661350   MATTHEW GOODSELL","9.72","credit","Income","Wells Fargo Everyday Checking","",""
"10/18/2021","Venmo","VENMO            PAYMENT    211017 1016317058934   MATTHEW GOODSELL","40.83","debit","Transfer","Wells Fargo Everyday Checking","",""
"10/18/2021","BYU IDAHO BYUIDAHO 211016 MATTHEW GOODSELL","BYU IDAHO        BYUIDAHO   211016       XXXXX8627 MATTHEW GOODSELL","7.59","debit","Entertainment","Wells Fargo Way2Save® Savings","",""
"10/16/2021","Spotify","Spotify USA              877-7781161  NY","9.99","debit","Music","Visa","",""
"10/15/2021","BRIGHAM YOUNG UN PAYROLL 211015 211015W00003524 MATTHEW GOODSELL","BRIGHAM YOUNG UN PAYROLL    211015 211015W00003524 MATTHEW GOODSELL","55.11","credit","Paycheck","Wells Fargo Way2Save® Savings","",""
"10/14/2021","THE TAVERN Rexburg ID S301287096857024 CARD 9347","PURCHASE                                AUTHORIZED ON   10/13 SQ *THE TAVERN            Rexburg       ID  S301287096857024   CARD 9347","6.00","debit","Restaurants","Wells Fargo Everyday Checking","",""
"10/12/2021","Venmo Refund","VENMO            REFUND     211009 1016170696390   MATTHEW GOODSELL","40.83","credit","Income","Wells Fargo Everyday Checking","",""
"10/12/2021","Venmo Refund","VENMO            REFUND     211009 1016170695264   MATTHEW GOODSELL","24.13","credit","Income","Wells Fargo Everyday Checking","",""
"10/10/2021","TOPGOLF SALT LAKE 026-2 SALT LAKE CITUT","TOPGOLF SALT LAKE  026-2 SALT LAKE CITUT","20.00","debit","Groceries","Visa","",""
"10/06/2021","Ch JesusChrist DONATION","Ch JesusChrist   DONATION   211006 82094376        GOODSELL MATTHEW ALLEN","3.88","debit","Charity","Wells Fargo Way2Save® Savings","",""
"10/05/2021","PAC*PARAMOUNTACCEPTANC 800-748-4949 UT","PAC*PARAMOUNTACCEPTANC   800-748-4949 UT","22.89","debit","Entertainment","Visa","",""
"10/05/2021","BYUI UNIVERSITY ST REXBURG ID S381277794993850 CARD 9347","PURCHASE                                AUTHORIZED ON   10/04 BYUI UNIVERSITY ST        REXBURG       ID  S381277794993850   CARD 9347","26.49","debit","Tuition","Wells Fargo Everyday Checking","",""
"10/04/2021","Wal-Mart","PURCHASE                                AUTHORIZED ON   10/02 WAL-MART  Wal-Mart Sup    REXBURG       ID  P00000000830114827 CARD 9347","16.82","debit","Shopping","Wells Fargo Everyday Checking","",""
"10/04/2021","BROULIM'S #6 REXBURG ID P00000000785650562 CARD 9347","PURCHASE                                AUTHORIZED ON   10/02 BROULIM'S #6              REXBURG       ID  P00000000785650562 CARD 9347","48.03","debit","Groceries","Wells Fargo Everyday Checking","",""
"10/04/2021","CASA DE OCHOA Rexburg ID S381275047452285 CARD 9347","PURCHASE                                AUTHORIZED ON   10/01 SQ *CASA DE OCHOA         Rexburg       ID  S381275047452285   CARD 9347","13.77","debit","Restaurants","Wells Fargo Everyday Checking","",""
"10/04/2021","Costco","PURCHASE                                AUTHORIZED ON   10/02 COSTCO WHSE #1379         IDAHO FALLS   ID  P00381275716607068 CARD 9347","34.95","debit","Groceries","Wells Fargo Everyday Checking","",""
"10/01/2021","BRIGHAM YOUNG UN PAYROLL 211001 211001W00003524 MATTHEW GOODSELL","BRIGHAM YOUNG UN PAYROLL    211001 211001W00003524 MATTHEW GOODSELL","38.77","credit","Paycheck","Wells Fargo Way2Save® Savings","",""
"10/01/2021","CHECK 1005","CHECK","320.00","debit","Check","Wells Fargo Everyday Checking","",""
"9/30/2021","INTEREST PAYMENT","INTEREST PAYMENT","0.01","credit","Interest Income","Emergency","",""
"9/30/2021","INTEREST PAYMENT","INTEREST PAYMENT","0.01","credit","Interest Income","Wells Fargo Way2Save® Savings","",""
"9/28/2021","Ch JesusChrist DONATION","Ch JesusChrist   DONATION   210928 81694043        GOODSELL MATTHEW ALLEN","57.95","debit","Charity","Wells Fargo Way2Save® Savings","",""
"9/27/2021","BYU IDAHO BYUIDAHO 210925 MATTHEW GOODSELL","BYU IDAHO        BYUIDAHO   210925       XXXXX8627 MATTHEW GOODSELL","44.95","debit","Entertainment","Wells Fargo Way2Save® Savings","",""
"9/27/2021","ONLINE TRANSFER TO GOODSELL M WAY2SAVE SAVINGS REF #IB0CH7D74S ON 09/25/21","ONLINE TRANSFER TO GOODSELL M WAY2SAVE SAVINGS XXXXXX1765 REF #IB0CH7D74S ON 09/25/21","52.95","debit","Transfer","Wells Fargo Way2Save® Savings","",""
"9/27/2021","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS REF #IB0CH7D74S ON 09/25/21","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS XXXXXX9117 REF #IB0CH7D74S ON 09/25/21","52.95","credit","Transfer","Emergency","",""
"9/27/2021","BYUI CASHNET WEB 208-496-1900 ID S461267181887565 CARD 9347","PURCHASE                                AUTHORIZED ON   09/23 BYUI CASHNET WEB          208-496-1900  ID  S461267181887565   CARD 9347","4.00","debit","Education","Wells Fargo Everyday Checking","",""
"9/24/2021","MOBILE DEPOSIT : REF NUMBER :308240344975","MOBILE DEPOSIT : REF NUMBER :308240344975","450.99","credit","Income","Wells Fargo Way2Save® Savings","",""
"9/24/2021","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING REF #IB0CGYCMK4 ON 09/24/21","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING XXXXXX9815 REF #IB0CGYCMK4 ON 09/24/21","320.00","debit","Transfer","Wells Fargo Way2Save® Savings","",""
"9/24/2021","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS REF #IB0CGYCMK4 ON 09/24/21","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS XXXXXX9117 REF #IB0CGYCMK4 ON 09/24/21","320.00","credit","Transfer","Wells Fargo Everyday Checking","",""
"9/23/2021","Amazon","PURCHASE                                AUTHORIZED ON   09/20 Amazon.com*2G9ID46        Amzn.com/bill WA  S581263283413882   CARD 9347","66.46","debit","Shopping","Wells Fargo Everyday Checking","",""
"9/21/2021","Wal-Mart","PURCHASE                                AUTHORIZED ON   09/20 WAL-MART #1878            REXBURG       ID  P00000000474595996 CARD 9347","11.85","debit","Shopping","Wells Fargo Everyday Checking","",""
